Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH,DELAYED_REASON,FAULT_NATURE,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,U T I NO.2,12330,BLOSSOM,9892,1)MULTIWELD NO.1 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)MAROL NO.2 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3)MAROL MAROSHI ROAD NO.1 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 4)FAILED TO OPEN MAROL MAROSHI ROAD NO.1 S/S DMS SW.NO.30443 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN MAROL MAROSHI ROAD NO.1 S/S DMS SW.NO.02364 FAILED TO OPERATE FROM SCADA. 6) FPI MALFUNCTION AT U T I NO.2 S/S SW.NO.12329 (GLOWN). 7) OPERATION SQUAD WAS SENT TO SARVODAYA DSS TO LOWER THE TAP DUE TO TAP STUCK UP ISSUE. 8) LOTS OF FLIES & INSECTS WERE INSIDE UTI NO.2 CSS.HENCE IT WAS DIFFICULT FOR OPERATION SQUAD TO OPERATE THE SWITCHES.,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,UTKARSH,40134,MAHAKALI ROAD NO.2,12384,1) FPI MALFUNCTION AT UTKARSH S/S SW.NO.40134 (NOT GLOWN). 2) ACCESS PROBLEM AT MAHAL PICTURE S/S ISOLATION DONE BY WALKING DUE TO NARROW LANE & NO OF VEHICLES PARKED ON THE ROAD.. 3) ACCESS PROBLEM AT UTKARSH S/S ISOLATION DONE BY WALKING DUE TO NARROW LANE & NO OF VEHICLES PARKED ON THE ROAD..,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,UTKARSH,40134,MAHAKALI ROAD NO.2,12384,1) HEAVY TRAFFIC ON MIDC CENTRAL ROAD & JVLR. 2) NO VEHICLE ACCESS TO UTKARSH CSS HENCE ISOLATION & RESTORATION IS DONE BY WALK..,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VEDA,17421,BHAKTIDHAM,14969,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VICTORY FLASK,2984,DEONAR QTRS,7633,1) DMS OFFLINE AT DEONAR QTRS S/S. 2) FPI MALFUNCTION AT VICTORY FLASK S/S SW.NO.02984 (NOT GLOWN). 3)DEONAR QTRS S/S DMS SW.NO.07631 SWITCH MECHANISM PROBLEM. DEONAR QTRS 30% SUPPLY RESTORED ON LT BACKFEEDING AT 08:50 HRS. DEONAR QTRS 100% SUPPLY RESTORED ON DG SET AT 12:00 HRS.,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VICTORY FLASK,2984,DEONAR QTRS,7633,1) FPI MALFUNCTION AT VICTORY FLASK S/S SW.NO.02984 (NOT GLOWN). 2)DEONAR QTRS S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 3)DEONAR QTRS S/S DMS SW.NO.07631 SWITCH MECHANISM PROBLEM. 4) SW. 7631 (NOT GETTING ON) ISSUE ATTENDED BY FITTER AND THEN SUPPLY RESTORED.,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VIDYA BHAVAN,19044,BHARTIYA VIDYA BHAVAN,37474,1)H M SCHOOL NO.2 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2)FAILED TO CLOSE VIGHNAHARTA S/S DMS SW.NO.34846 FAILED TO OPERATE FROM SCADA. 3) FPI NOT INSTALLED AT VIYABHAVAN S/S..,,
120+300SQ.MM,XLPE,11KV,HTCF SECTION,ANAND NO.2,35051,ANAND NO.4,19575,ONGOING CONSTRUCTION WORK AT MEGA MALL. ALSO DUE TO CRANE PULLEY FALLEN IN THE WAY OF OPERATION SQUAD VEHICLE WHILE GOING FOR ISOLATION..,,
120+300SQ.MM,XLPE,11KV,HTCF SECTION,ANDHERI WIRELESS,5048,JUHU LANE NO.4,11790,,,
120+300SQ.MM,XLPE,11KV,HTCF SECTION,CHEMBUR MONALISA,35983,CHEMBUR WEST 2,9883,1) FPI MALFUNCTION AT SINDHI SOCI.GYMKHANA S/S SW.NO.15285 (GLOWN). 2)FAILED TO OPEN REPUBLIC S/S DMS SW.NO.04365 FAILED TO OPERATE FROM SCADA. 3)CHEMBUR JYOTI HEIGHTS S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND.,,
120+300SQ.MM,XLPE,11KV,HTCF SECTION,MAGATHANE NO 1,7902,MAGATHANE NO 2,17109,,,
120+300SQ.MM,XLPE,11KV,HTCF SECTION,MAHESHWAR JYOT,35681,SHETH ELEGANCE,31788,,,
120+300SQ.MM,XLPE,11KV,HTCF SECTION,MATRU SMRUTI,36640,PATKAR BLOCK,25666,1) FPI MALFUNCTION AT FIDAI CINEMA S/S SW.NO.04568 (NOT GLOWN). 2) FPI MALFUNCTION AT MATRU SMRUTI S/S SW.NO.36640 (NOT GLOWN). 3)FAILED TO OPEN FIDAI CINEMA S/S DMS SW.NO.04568 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN FIDAI CINEMA S/S DMS SW.NO.13086 FAILED TO OPERATE FROM SCADA. 5)FAILED TO CLOSE - MULTIPLE COMMAND COMET S/S DMS SW.NO.12947 FAILED TO OPERATE FROM SCADA.,,
120+300SQ.MM,XLPE,11KV,HTCF SECTION,SHANTI VIHAR,17791,POONAM VIHAR,26504,1)FAILED TO OPEN POONAM VIHAR S/S DMS SW.NO.26504 FAILED TO OPERATE FROM SCADA. 2) FPI MALFUNCTION AT SHANTI VIHAR S/S SW.NO.17791 (NOT GLOWN).,,
120+300SQ.MM,XLPE,11KV,HTCF SECTION,TANAJI NAGAR,11653,RIZVI SRA 7A,38253,1)FAILED TO OPEN - MULTIPLE COMMAND TANAJI NAGAR S/S DMS SW.NO.11653 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN - MULTIPLE COMMAND TANAJI NAGAR S/S DMS SW.NO.11060 FAILED TO OPERATE FROM SCADA. 3) HEAVY TRAFFIC ON TANAJI NGR S/S ROAD..,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AMBAWADI,15105,MITHCHOWKY LOTUS,37065,1) DMS OFFLINE AT ORLEM NO.1 S/S. 2)MITHCHOWKY LOTUS S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3)FAILED TO OPEN VISHAL NAGAR S/S DMS SW.NO.36110 FAILED TO OPERATE FROM SCADA.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHAMUNDA PARADISE,36803,PARLE NORTH NO.2,7585,1)JEEVAN VIKAS ROAD S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)KANJI S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3)FAILED TO OPEN PARLE NORTH NO.2 S/S DMS SW.NO.07585 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN PARLE NORTH NO.2 S/S DMS SW.NO.07586 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN PARLE NORTH NO.2 S/S DMS SW.NO.07588 FAILED TO OPERATE FROM SCADA. 6) ACCESS PROBLEM AT CHAMUNDA PARADISE S/S DUE TO DEBRIES DUMPED IN FRONT OF SUBSTATION.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CLASSIC COUNTRY,13220,GOLDEN NEST NO 1,13567,1) DMS OFFLINE AT GOLDEN NEST NO 1 S/S.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CLASSIC COUNTRY,13220,GOLDEN NEST NO 1,13567,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ECO HOUSE,34189,ACME AMEY,26175,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,EXPRESS MALL NO.2,34908,HEAVEN KORES NO.2,9251,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KAILASH CHANDRA,5102,NIVATIA ROAD NO.1,5318,1)FAILED TO OPEN NIVATIA ROAD NO.2 S/S DMS SW.NO.10379 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN NIVATIA ROAD NO.2 S/S DMS SW.NO.10377 FAILED TO OPERATE FROM SCADA. 3)FAILED TO CLOSE NIVATIA ROAD NO.2 S/S DMS SW.NO.10379 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN GINI APARTMENT S/S DMS SW.NO.18676 FAILED TO OPERATE FROM SCADA.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LOKMANYA,9348,KADAM WADI NO.3,11783,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MALVANI MHADA NO.10,39765,NEW BABREKAR NAGAR,26852,ANOTHER HTCF BETWEEN MALWANI MHADA NO.5 S/S TO NEW BABREKAR NGR. S/S.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,NAHAR NAGAR,14529,LIBERTY GARDEN WEST,12691,1) FPI MALFUNCTION AT NAHAR NAGAR S/S SW.NO.14529 (NOT GLOWN). 2) FPI MALFUNCTION AT NAHAR NAGAR S/S SW.NO.14531 (NOT GLOWN).,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,NEW BABREKAR NAGAR,26852,MALVANI MHADA NO.10,39765,1)FAILED TO CLOSE NEW BABREKAR NAGAR S/S SW.NO.26852 FAILED TO OPERATE FROM SCADA. 2) HEAVY TRAFFICE ON MARVE ROAD SIGNAL & MITHCHOWKI SIGNAL.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,R S C 23,15029,RSC 44 SOUTH,38061,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAM KUTIR,18138,MITHAGAR ROAD NO.3,6792,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAMBAUGH LOTUS,38138,CHINCHAVLI ROAD NO.3,31664,1)RAMBAUGH LOTUS S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)CHINCHAVLI ROAD NO.3 S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHANTI NAGAR SHOPPING NO 2,38113,SHANTI NAGAR SOUTH,11326,1)SHANTI NAGAR SHOPPING NO 2 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2) AUTO TRIP DID NOT APPEARED ON SCADA WHILE FEEDER TRIPPING.,FEEDER TRIPPING,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SITA KUNJ,34597,LIBERTY GARDEN SOUTH NO.2,19893,1)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06899 FAILED TO OPERATE FROM SCADA.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VICKMAN STEEL,4983,HARIAS DREAM PARK,13004,1)FAILED TO OPEN BROADWAY AVENUE S/S DMS SW.NO.17411 FAILED TO OPERATE FROM SCADA. 2) DMS OFFLINE AT SHYAM COMPLEX S/S.,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,AAREY UNIT NO.3 KIOSK,18019,AGRO INDUSTRIES,2986,1)FAILED TO OPEN - MULTIPLE COMMAND AAREY NO.2 S/S DMS SW.NO.18065 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN - MULTIPLE COMMAND AAREY NO.2 S/S DMS SW.NO.18066 FAILED TO OPERATE FROM SCADA. RESTORATION DELAYED DUE TO RELAY ACTION NOT UPDATED ON SCADA.,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,GREEN VALLEY STUDIO,38415,CLASSIC PRECI TECH,34485,,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,,,,,,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,MALAD RESERVOIR STUDIO,38451,MALAD RESERVOIR,14068,1) ACCESS PROBLEM AT MALAD RESERVOIR STUDIO S/S S/S INSIDE PRIVATE PROPERTY AND PREMISES GATE WAS LOCKED AND NO PERSONNEL WAS AVAILABLE NEARBY.,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,PARAG NAGAR,17771,NL ARYAVARTA NO 1,39893,1)FAILED TO OPEN PARAG NAGAR S/S SW.NO.17771 FAILED TO OPERATE FROM SCADA. 2) FPI MALFUNCTION AT PARAG NAGAR S/S SW.NO.17772 (GLOWN).,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,SHYAM SADAN,36284,JAYSHIKHA,36393,WEST SQUAD WAS BUSY DISCONNECTING PRIVATED DG(MEGHANA APPT) AND EAST SQUAD WAS CALLED FOR ISOLATION.,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,VICKMAN STEEL,4983,HARIAS DREAM PARK,13004,1)SHANTI PARK NO.2 (DMS) WENT OFFLINE 2) FPI MALFUNCTION AT VIKMAN STEEL CSS SW NO 4983 (NOT GLOWN)..,,
120+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FALCON CREST,16834,YOGI NAGAR CENTRAL,17361,,,
120+300+400SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,,,,
120+300+70+150+0.06SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOREGAON NO.2,13778,GOREGAON NORTH,31794,1)FAILED TO OPEN GOREGAON NORTH S/S DMS SW.NO.31794 FAILED TO OPERATE FROM SCADA.,,
120+70SQ.MM,PILC,11KV,HTCF SECTION,DANDA VILLAGE NO.1 (PT),35774,DANDA VILLAGE NO.3,16024,1) HEAVY TRAFFIC AT BANDRA DSS GATE & ON 15TH RD. 2) VEHICLE U-TURN RESTRICTIONS ON RAM MANDIR RD NEAR DANDA VILLAGE NO.1 CSS. DMS USED FOR ISOLATION AND RESTORATION. NO FAULT AFTER TESTING.,,
150SQ.MM,XLPE,11KV,HTCF SECTION,GOREGAON,409,CORPORATE ARENA,30496,1) GOREGAON S/S 11 KV SW NO. 408 82 409 & 457 NOT OPENED FROM SCADA 2) FPI MALFUNCTION AT GOREGAN S/S 11 KV SW NO. 82 (GLOWN) 3) ACCESS PROBLEM AT CORPORATE ARENA S/S AS COMPLEX FIBER NETWORK AT THE ENTRANCE OF S/S & S/S LOCK WAS RUSTY ( S/S LOCK BROKEN BY SQUAD) 4) SAIBABA ENCLAVE S/S WENT OFFLINE AFTER TRIPPING.,,
150SQ.MM,XLPE,11KV,HTCF SECTION,LIVING ESSENCS,31510,WHISPERING PALM,13870,1)FAILED TO CLOSE - MULTIPLE COMMAND SPRING LEAF NO.2 S/S DMS SW.NO.29217 FAILED TO OPERATE FROM SCADA. RESTORATION DONE AFTER INSPECTION OF WATER LEVEL IN ADJACENT AREA.,,
150SQ.MM,XLPE,11KV,HTCF SECTION,RAM PRATIKSHA TOWER,38569,JYOTI PARK NO 2,26056,1)INDRALOK NO 4 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)RAM PRATIKSHA TOWER S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3)SHREYAS BUILDING S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 4)FAILED TO OPEN GOPAL DARSHAN BUILDING S/S DMS SW.NO.38380 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN GOPAL DARSHAN BUILDING S/S DMS SW.NO.38381 FAILED TO OPERATE FROM SCADA. 6)MULTIPLE CABLE FAULT ON SADGURU REC-STN 11 KV-SWITCH: 38233 FEEDER..,,
150SQ.MM,XLPE,11KV,HTCF SECTION,RAMEE EMERALD,28906,SECOND ROAD (2ND),29235,1) HEVAY TRAFFIC ON KHAR ROAD.ALSO WATCHMAN WAS NOT PRESENT AT BANDRA R/S EXIT GATE.TOOK 15MINT TO LEAVE FROM BANDRA R/S. 2) DMS OFFLINE AT KHAR SOUTH S/S. 3)NIVAN S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
150SQ.MM,XLPE,11KV,HTCF SECTION,TUREL PAKHADI NO.1,6899,TUREL PAKHADI NO.2,5271,1)TUREL PAKHADI NO.1 S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
150SQ.MM,XLPE,11KV,HTCF SECTION,UTTAN VIVIDH LAKSHY VIDYALAY,13212,JIDICIARY ACADEMY,32312,,,
150+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DHRUV PARK,28144,VASANT VIEW,31527,,,
150+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ANAND NAGAR NO.2,10499,HANUMAN TEKDI NO.2,40965,1) DMS OFFLINE AT KHANDWALA COMPOUND S/S. 2)FAILED TO OPEN RADHA GRAM S/S DMS SW.NO.07990 FAILED TO OPERATE FROM SCADA. 3)FAILED TO CLOSE GAJRAJ S/S SW.NO.35170 FAILED TO OPERATE FROM SCADA. 4)BHAVYA HEIGHTS S/S (DMS) WENT OFFLINE AFTER TRIPPING. FAULT PINPOINTED ON WEH NEAR RGHQ AT BMC PILING WORK SITE..,,
150+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FAIRMONT SHREM,39445,NEERAV PROPERTIES,39451,,,
150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RSC 28,17287,RSC 41 NORTH,38894,1) DMS OFFLINE AT RSC 41 NORTH S/S. 2) DMS OFFLINE AT RSC 71 EAST S/S. 3) DMS OFFLINE AT RSC 41 S/S. 4) DMS OFFLINE AT RSC 39 S/S.,,
185+0.15+240SQ.MM,PILC,11KV,HTCF SECTION,OSHIVRA BRIDGE,803,OSHIWARA NO.1,1003,1)OSHIVRA BRIDGE S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)FAILED TO CLOSE WHITE HOUSE S/S DMS SW.NO.19611 FAILED TO OPERATE FROM SCADA.,,
185+225+240SQ.MM,PILC,11KV,HTCF SECTION,JEEVDAYA LANE,5170,GHATKOPAR TEL.EXCHANGE,5539,1) FPI MALFUNCTION AT GHATKOPAR RESERVOIR S/S SW.NO.16939 (GLOWN). 2) FPI MALFUNCTION AT GHATKOPAR TEL.EXCHANGE S/S SW.NO.05539 (GLOWN). 3) HEAVY TRAFFIC ON LBS RD.,,
185+225+240SQ.MM,PILC,11KV,HTCF SECTION,JEEVDAYA LANE,5170,GHATKOPAR TEL.EXCHANGE,5539,,,
185+225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ISHA STEEL,4889,VARDHMAN WARE HOUSE,10475,1)EVEREST S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2)SURYA NGR 1 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 3) FPI MALFUNCTION AT VARDHMAN WARE HOUSE S/S SW.NO.10475 (GLOWN). 4) FPI MALFUNCTION AT ISHA STEEL S/S SW.NO.04889 (NOT GLOWN). 5) FEEDER TRIPPING AT 220KV AAREY REC-STN SW.NO.14328. 6) HEAVY TRAFFIC ON LBS ROAD AND SAKI VIHAR ROAD.,,
185+240SQ.MM,PILC,11KV,HTCF SECTION,VIKHROLI HILL 1,12089,VIKHROLI BUS DEPOT,13955,,,
185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PATEL ICE FACTORY,9278,HINDUSTAN PAPER,5017,1) FPI MALFUNCTION AT HINDUSTAN PAPER S/S SW.NO.05017 (GLOWN). 2) FPI MALFUNCTION AT SAFED POOL S/S SW.NO.14038 (GLOWN). 3) HEAVY TRAFFIC ON ANDHERI KURLA ROAD.,,
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ALELI,17048,VIKHROLI,29706,,,
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,,,,
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DAHISAR TELEPHONE EXCHANGE,26862,PRABHAT ROLLER MILL,10095,1) FPI MALFUNCTION AT DAHISAR TELEPHONE EXCHANGE S/S SW.NO.26862 (NOT GLOWN). 2) FPI MALFUNCTION AT DAHISAR TELEPHONE EXCHANGE S/S SW.NO.26865 (NOT GLOWN). 3)FAILED TO OPEN DAHISAR TELEPHONE EXCHANGE S/S DMS SW.NO.26862 FAILED TO OPERATE FROM SCADA.,,
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GANJAWALA LANE,2798,BORIVALI EAST NO 1,756,1) DMS OFFLINE AT G H HIGH SCHOOL S/S. 2) ACCESS PROBLEM AT G H HIGH SCHOOL S/S SECURITY GAURD UNAVAILABLE AT SITE. 3) AT BORIVALI EAST S/S SW 756 OPERATED AFTER MULTIPLE COMMANDS.,,
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAKHIJA ROYALE,37302,HRISHIKESH,6351,1) DMS OFFLINE AT HRISHIKESH S/S. 2)FAILED TO CLOSE - MULTIPLE COMMAND WELLINGTON CATHOLIC GYMKHANA S/S DMS SW.NO.12175 FAILED TO OPERATE FROM SCADA. 3) FPI MALFUNCTION AT HRISHIKESH S/S SW.NO.06351 (GLOWN).,,
185+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GHATKOPAR SWITCH HOUSE,485,JEEVDAYA LANE,5169,,,
185+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MHATRE PLAZA,11074,DAHANUKAR WADI NO.1,28160,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,BANDRA BUS DEPOT,31397,BANDRA TANK NO.3,15113,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,,,,,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,FERTILIZER CLY 3,16240,TROMBAY RESERVOIR,2830,1) FPI MALFUNCTION AT PANJARPOLE 1 S/S SW.NO.32428 (NOT GLOWN). 2) FEEDER TRIPPING AT SHIVAJI NAGAR REC-STN SW.NO.26762.,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,JUHU SCHEME NO.2,31723,V M ROAD NO.1,19317,1) FPI MALFUNCTION AT KAPOL CO OP NO.1 S/S SW.NO.11491 (NOT GLOWN). 2) FPI MALFUNCTION AT VARDHAMAN S/S SW.NO.37711 (NOT GLOWN). 3)FAILED TO CLOSE - MULTIPLE COMMAND KAPOL CO OP NO.1 S/S DMS SW.NO.11489 FAILED TO OPERATE FROM SCADA.,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,,,,,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,PANJARPOLE 1,32428,FERTILIZER CLY 3,16238,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,SWAPNASHIL,25581,PARLE EAST SHOPPING,5496,1)FAILED TO OPEN PARLE EAST SHOPPING S/S DMS SW.NO.05496 FAILED TO OPERATE FROM SCADA. 2)PARLE EAST SHOPPING S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND.,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,SWAPNASHIL,25581,PARLE EAST SHOPPING,5496,1)RAMA RESIDENCY S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 2)FAILED TO OPEN PARLE EAST SHOPPING S/S DMS SW.NO.05496 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN - MULTIPLE COMMAND PARLE EAST MARKET S/S DMS SW.NO.07989 FAILED TO OPERATE FROM SCADA. 4) OPERATION SQUAD WAS AT MMRDA OFFICE FOR LUNCH DURING TRIPPING..,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHARAI CEMETRY,11408,REPUBLIC,2190,1) FEEDER TRIPPING AT MAHUL SRA REC-STN SW.NO.3614.,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,,,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOKALIBAI SCHOOL,18025,BAJAJ ROAD,5083,1)FAILED TO CLOSE GOKUL NEMIELLA S/S DMS SW.NO.37165 FAILED TO OPERATE FROM SCADA. 2) SIMULTENIOUS TRIPPING OF JUHU R/S 28489.,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JOGESHWARI CAVES ROAD NO.1,2922,JOGESHWARI CAVES ROAD NO.3,12533,,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PANJARPOLE 1,32428,FERTILIZER CLY 3,16238,,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SORTING OFFICE,10840,ELBEE COURIERS,19120,1) DMS OFFLINE AT ELBEE CURRIERS S/S. 2)VISHNU CINETONE S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND.,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SWAPNASHIL,25579,HANUMAN ROAD NO.2,4038,,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,UNION PARK 2,17614,ATUR PARK,16836,1)SRIKANT STUDIO S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2) ACCESS PROBLEM AT SRIKANT STUDIO S/S.,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ANGOLIMALA,30632,GULRAJ NO.2,39202,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BASANT TALKIES,4283,GOLF CLUB,2168,1) FPI MALFUNCTION AT BASANT VIKAS S/S SW.NO.10862 (NOT GLOWN). 2)FAILED TO CLOSE BASANT VIKAS S/S DMS SW.NO.10863 FAILED TO OPERATE FROM SCADA.,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,,1)BHARAT TEERTH S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)SHREE SUNDER S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 3)BHARAT TEERTH S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 4)FAILED TO CLOSE SUNNY EST S/S DMS SW.NO.09411 FAILED TO OPERATE FROM SCADA. 5)FAILED TO CLOSE SHREE SUNDER S/S DMS SW.NO.06383 FAILED TO OPERATE FROM SCADA. 6)FAILED TO CLOSE SHREE SUNDER S/S DMS SW.NO.06384 FAILED TO OPERATE FROM SCADA. 7)FAILED TO OPEN RESERVE BANK 2 S/S SW.NO.38805 FAILED TO OPERATE FROM SCADA. 8). ACCESS PROBLEM BECAUSE OF TRASH OUTSIDE SHIRKANT STUDIO S/S.,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DIMPLE,38385,SHIVAI PLAZA,29939,1) DMS OFFLINE AT MAROL CO-OP NO.4 S/S. 2)MAROL CO-OP NO.1 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. FAULTY SECTION COULD NOT BE ISOLATED DUE TO ACCESS DENIED BY CONSUMER AT DIMPLE S/S..,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FERTILIZER STAFF,835,R.C.MARG,9043,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GLOBAL VECTRA,30857,MESCO AIRLINES,17194,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOKUL DIVINE,19756,PRIME MALL,28342,1)FAILED TO OPEN - MULTIPLE COMMAND IRLA TELEPHONE EXCHANGE S/S DMS SW.NO.38016 FAILED TO OPERATE FROM SCADA. 2) ACCESS PROBLEM AT GOKUL DIVINE S/S APPROCH ROAD TO S/S DIGGED UP NO VEHICLE ACESS TO S/S..,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOKUL DIVINE,19756,PRIME MALL,28342,1)PRIME MALL S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)IRLA TELEPHONE EXCHANGE S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3) ACCESS PROBLEM AT PRIME MALL S/S ACESS PROBLEM DUE TO COVID CHECK.. 4) FPI MALFUNCTION AT GOKUL DIVINE S/S SW.NO.19756 (NOT GLOWN). 5) MOBILE NETWORK ISSUE AT PRIME MALL CSS..,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HI-CONS HEIGHT,31738,IFFCO,32926,,,
